Count of combinations
% num: 64
dict_keys(['k_24', 'k_31'])
(2, 0): 1
(3, 1): 1
(0, 2): 1
(1, 3): 1
(6, 4): 1
(7, 5): 1
(4, 6): 1
(5, 7): 1
(10, 8): 1
(11, 9): 1
(8, 10): 1
(9, 11): 1
(14, 12): 1
(15, 13): 1
(12, 14): 1
(13, 15): 1
(7, 0): 1
(6, 1): 1
(5, 2): 1
(4, 3): 1
(3, 4): 1
(2, 5): 1
(1, 6): 1
(0, 7): 1
(15, 8): 1
(14, 9): 1
(13, 10): 1
(12, 11): 1
(11, 12): 1
(10, 13): 1
(9, 14): 1
(8, 15): 1
(8, 0): 1
(9, 1): 1
(10, 2): 1
(11, 3): 1
(12, 4): 1
(13, 5): 1
(14, 6): 1
(15, 7): 1
(0, 8): 1
(1, 9): 1
(2, 10): 1
(3, 11): 1
(4, 12): 1
(5, 13): 1
(6, 14): 1
(7, 15): 1
(13, 0): 1
(12, 1): 1
(15, 2): 1
(14, 3): 1
(9, 4): 1
(8, 5): 1
(11, 6): 1
(10, 7): 1
(5, 8): 1
(4, 9): 1
(7, 10): 1
(6, 11): 1
(1, 12): 1
(0, 13): 1
(3, 14): 1
(2, 15): 1
time: 0.4195122718811035
