Count of combinations
% num: 64
dict_keys(['k1_9', 'k2_9', 'k2_9_1'])
(1, 0, 0): 1
(0, 2, 1): 1
(3, 4, 2): 1
(2, 6, 3): 1
(5, 9, 4): 1
(4, 11, 5): 1
(7, 13, 6): 1
(6, 15, 7): 1
(9, 1, 8): 1
(8, 3, 9): 1
(11, 5, 10): 1
(10, 7, 11): 1
(13, 8, 12): 1
(12, 10, 13): 1
(15, 12, 14): 1
(14, 14, 15): 1
(2, 0, 0): 1
(3, 2, 1): 1
(0, 4, 2): 1
(1, 6, 3): 1
(6, 9, 4): 1
(7, 11, 5): 1
(4, 13, 6): 1
(5, 15, 7): 1
(10, 1, 8): 1
(11, 3, 9): 1
(8, 5, 10): 1
(9, 7, 11): 1
(14, 8, 12): 1
(15, 10, 13): 1
(12, 12, 14): 1
(13, 14, 15): 1
(4, 0, 0): 1
(5, 2, 1): 1
(6, 4, 2): 1
(7, 6, 3): 1
(0, 9, 4): 1
(1, 11, 5): 1
(2, 13, 6): 1
(3, 15, 7): 1
(12, 1, 8): 1
(13, 3, 9): 1
(14, 5, 10): 1
(15, 7, 11): 1
(8, 8, 12): 1
(9, 10, 13): 1
(10, 12, 14): 1
(11, 14, 15): 1
(7, 0, 0): 1
(6, 2, 1): 1
(5, 4, 2): 1
(4, 6, 3): 1
(3, 9, 4): 1
(2, 11, 5): 1
(1, 13, 6): 1
(0, 15, 7): 1
(15, 1, 8): 1
(14, 3, 9): 1
(13, 5, 10): 1
(12, 7, 11): 1
(11, 8, 12): 1
(10, 10, 13): 1
(9, 12, 14): 1
(8, 14, 15): 1
time: 0.3511331081390381
