Count of combinations
% num: 32
dict_keys(['k1_10', 'k2_10', 'k2_10_5'])
(1, 0, 0): 1
(0, 6, 1): 1
(3, 13, 2): 1
(2, 11, 3): 1
(5, 10, 4): 1
(4, 12, 5): 1
(7, 7, 6): 1
(6, 1, 7): 1
(9, 3, 8): 1
(8, 5, 9): 1
(11, 14, 10): 1
(10, 8, 11): 1
(13, 9, 12): 1
(12, 15, 13): 1
(15, 4, 14): 1
(14, 2, 15): 1
(11, 0, 0): 1
(10, 6, 1): 1
(9, 13, 2): 1
(8, 11, 3): 1
(15, 10, 4): 1
(14, 12, 5): 1
(13, 7, 6): 1
(12, 1, 7): 1
(3, 3, 8): 1
(2, 5, 9): 1
(1, 14, 10): 1
(0, 8, 11): 1
(7, 9, 12): 1
(6, 15, 13): 1
(5, 4, 14): 1
(4, 2, 15): 1
time: 0.4736208915710449
