Count of combinations
% num: 1376256
dict_keys(['k_39', 'k_42', 'k_45', 'k_50'])
(162, 16, 16, 169): 4464
(162, 16, 16, 4): 3552
(162, 16, 16, 182): 5664
(162, 16, 16, 181): 5664
(162, 16, 16, 7): 3552
(162, 16, 16, 179): 5664
(162, 16, 16, 176): 5664
(162, 16, 16, 190): 4752
(162, 16, 16, 17): 3552
(162, 16, 16, 18): 3552
(162, 16, 16, 191): 4464
(162, 16, 16, 20): 3552
(162, 16, 16, 188): 4464
(162, 16, 16, 189): 4752
(162, 16, 16, 23): 3552
(162, 16, 16, 186): 4464
(162, 16, 16, 187): 4752
(162, 16, 16, 184): 4752
(162, 16, 16, 185): 4464
(162, 16, 16, 161): 3552
(162, 16, 16, 134): 5664
(162, 16, 16, 162): 3552
(162, 16, 16, 164): 3552
(162, 16, 16, 133): 5664
(162, 16, 16, 131): 5664
(162, 16, 16, 167): 3552
(162, 16, 16, 128): 5664
(162, 16, 16, 142): 4752
(162, 16, 16, 143): 4464
(162, 16, 16, 177): 3552
(162, 16, 16, 178): 3552
(162, 16, 16, 140): 4464
(162, 16, 16, 180): 3552
(162, 16, 16, 141): 4752
(162, 16, 16, 138): 4464
(162, 16, 16, 183): 3552
(162, 16, 16, 139): 4752
(162, 16, 16, 136): 4752
(162, 16, 16, 137): 4464
(162, 16, 16, 150): 5664
(162, 16, 16, 129): 3552
(162, 16, 16, 130): 3552
(162, 16, 16, 149): 5664
(162, 16, 16, 132): 3552
(162, 16, 16, 147): 5664
(162, 16, 16, 135): 3552
(162, 16, 16, 144): 5664
(162, 16, 16, 152): 4752
(162, 16, 16, 155): 4752
(162, 16, 16, 158): 4752
(162, 16, 16, 157): 4752
(162, 16, 16, 159): 4464
(162, 16, 16, 156): 4464
(162, 16, 16, 145): 3552
(162, 16, 16, 146): 3552
(162, 16, 16, 148): 3552
(162, 16, 16, 154): 4464
(162, 16, 16, 151): 3552
(162, 16, 16, 153): 4464
time: 81.41120338439941
