Count of combinations
% num: 1048576
dict_keys(['k_10', 'k_12', 'k_2', 'k_9'])
(1, 12, 0, 3): 48
(2, 11, 0, 4): 96
(0, 2, 0, 8): 32
(1, 14, 0, 4): 96
(1, 13, 0, 3): 48
(1, 14, 0, 1): 96
(1, 8, 0, 3): 48
(1, 12, 2, 10): 48
(1, 5, 0, 6): 48
(2, 5, 0, 3): 48
(0, 5, 0, 14): 48
(1, 6, 0, 8): 32
(1, 8, 0, 6): 48
(1, 7, 0, 4): 32
(1, 14, 2, 1): 96
(2, 7, 0, 8): 32
(1, 1, 0, 14): 48
(0, 7, 0, 12): 32
(2, 1, 0, 8): 112
(1, 3, 0, 13): 32
(1, 3, 0, 12): 32
(2, 9, 0, 14): 48
(1, 3, 0, 8): 32
(1, 1, 2, 6): 48
(2, 5, 0, 0): 112
(1, 4, 0, 11): 48
(1, 2, 0, 13): 32
(3, 1, 0, 0): 112
(2, 2, 0, 12): 32
(2, 14, 0, 15): 64
(1, 4, 0, 14): 48
(1, 6, 0, 9): 32
(3, 9, 0, 0): 80
(1, 5, 0, 11): 48
(2, 12, 0, 13): 80
(2, 0, 0, 5): 112
(1, 6, 0, 12): 32
(3, 14, 0, 7): 64
(2, 10, 0, 7): 64
(1, 10, 2, 4): 96
(2, 0, 0, 0): 112
(3, 2, 0, 7): 96
(1, 7, 0, 9): 32
(2, 15, 0, 2): 64
(3, 12, 0, 5): 80
(1, 4, 2, 3): 48
(2, 1, 0, 5): 112
(2, 15, 0, 7): 64
(2, 8, 0, 5): 80
(2, 10, 0, 3): 64
(3, 5, 0, 5): 112
(2, 14, 0, 2): 64
(2, 13, 0, 0): 80
(2, 14, 0, 11): 64
(1, 6, 2, 8): 32
(2, 13, 0, 5): 80
(3, 10, 0, 11): 64
(2, 6, 0, 7): 96
(2, 2, 0, 15): 96
(2, 12, 0, 0): 80
(3, 7, 0, 11): 96
(2, 11, 0, 14): 64
(1, 8, 2, 14): 48
(3, 6, 0, 15): 96
(2, 7, 0, 10): 96
(2, 11, 0, 11): 64
(2, 10, 0, 14): 64
(2, 12, 0, 9): 80
(3, 0, 0, 15): 48
(2, 8, 0, 1): 80
(1, 3, 2, 12): 32
(3, 8, 0, 9): 80
(2, 13, 2, 0): 112
(2, 7, 0, 2): 96
(2, 7, 0, 15): 96
(2, 6, 0, 10): 96
(2, 9, 0, 12): 80
(2, 3, 0, 10): 96
(3, 11, 0, 9): 96
(3, 3, 0, 2): 96
(2, 9, 0, 9): 80
(2, 8, 0, 12): 80
(2, 0, 0, 13): 112
(2, 11, 2, 7): 64
(2, 4, 0, 5): 112
(2, 2, 0, 2): 96
(2, 0, 2, 5): 80
(3, 13, 0, 2): 48
(2, 3, 0, 7): 96
(2, 9, 0, 10): 48
(3, 4, 0, 13): 112
(2, 13, 0, 2): 48
(2, 2, 0, 7): 96
(2, 5, 0, 13): 112
(3, 15, 0, 13): 32
(2, 15, 2, 11): 64
(3, 13, 0, 10): 48
(2, 15, 0, 9): 96
(2, 11, 0, 1): 96
(2, 4, 0, 8): 112
(3, 3, 0, 10): 96
(2, 12, 0, 10): 48
(3, 15, 0, 1): 96
(2, 0, 0, 14): 48
(2, 5, 0, 8): 112
(2, 2, 2, 15): 96
(2, 13, 0, 15): 48
(2, 11, 0, 12): 96
(3, 0, 0, 6): 48
(2, 14, 0, 1): 96
(2, 5, 2, 9): 80
(3, 4, 0, 1): 48
(2, 12, 0, 15): 48
(2, 4, 0, 6): 48
(2, 15, 0, 4): 96
(3, 11, 0, 4): 96
(2, 7, 2, 2): 96
(2, 1, 0, 6): 48
(2, 5, 0, 11): 48
(3, 6, 0, 6): 96
(2, 14, 0, 4): 96
(3, 5, 0, 3): 48
(2, 0, 0, 3): 48
(2, 7, 0, 0): 32
(3, 8, 0, 4): 80
(2, 1, 0, 3): 48
(2, 10, 0, 4): 96
(2, 9, 2, 13): 112
(2, 9, 0, 6): 48
(3, 7, 0, 8): 32
(3, 12, 0, 3): 48
(2, 3, 0, 8): 32
(2, 4, 0, 3): 48
(2, 1, 2, 10): 48
(3, 10, 0, 8): 32
(2, 2, 0, 4): 32
(2, 5, 0, 6): 48
(2, 10, 0, 1): 96
(2, 13, 0, 14): 48
(3, 9, 0, 8): 80
(3, 1, 0, 14): 48
(2, 10, 2, 1): 96
(2, 7, 0, 13): 32
(2, 6, 0, 12): 32
(3, 9, 0, 14): 48
(2, 6, 0, 8): 32
(3, 14, 0, 12): 96
(2, 12, 2, 6): 48
(3, 2, 0, 15): 96
(2, 9, 0, 11): 48
(3, 13, 0, 0): 80
(2, 6, 0, 13): 32
(2, 14, 2, 4): 96
(3, 2, 0, 12): 32
(2, 8, 0, 14): 48
(2, 2, 0, 9): 32
(3, 5, 0, 13): 112
(4, 0, 0, 0): 80
(3, 9, 0, 5): 80
(2, 9, 0, 0): 80
(3, 6, 0, 7): 96
(2, 3, 0, 12): 32
(2, 8, 0, 11): 48
(2, 8, 2, 3): 48
(3, 1, 0, 5): 112
(4, 11, 0, 7): 64
(3, 7, 0, 3): 96
(2, 3, 0, 9): 32
(3, 8, 0, 0): 80
(3, 2, 0, 2): 96
(2, 5, 0, 5): 112
(3, 8, 0, 5): 80
(3, 0, 0, 7): 48
(2, 3, 2, 8): 32
(3, 3, 0, 11): 96
(3, 3, 0, 7): 96
(4, 13, 0, 5): 112
(3, 5, 0, 0): 112
(2, 7, 0, 11): 96
(2, 4, 2, 14): 48
(4, 15, 0, 11): 64
(3, 4, 0, 5): 112
(3, 4, 0, 0): 112
(3, 7, 0, 14): 96
(3, 4, 0, 15): 48
(3, 11, 0, 1): 96
(2, 0, 0, 15): 48
(4, 9, 0, 15): 48
(2, 6, 2, 12): 32
(3, 6, 0, 11): 96
(3, 0, 0, 10): 48
(3, 15, 0, 9): 96
(3, 4, 2, 0): 80
(3, 6, 0, 14): 96
(2, 11, 0, 9): 96
(3, 1, 0, 15): 48
(3, 11, 0, 12): 96
(3, 6, 2, 7): 96
(4, 2, 0, 9): 32
(3, 9, 0, 2): 48
(3, 15, 0, 5): 32
(3, 1, 0, 10): 48
(3, 8, 2, 5): 112
(3, 11, 0, 13): 32
(4, 5, 0, 2): 48
(3, 13, 0, 7): 48
