Count of combinations
% num: 1048576
dict_keys(['k_10', 'k_12', 'k_2', 'k_9'])
(4, 2, 8, 2): 32
(3, 0, 10, 15): 80
(3, 12, 8, 10): 80
(5, 4, 8, 9): 16
(4, 12, 8, 13): 48
(4, 11, 8, 1): 96
(2, 13, 8, 8): 80
(3, 15, 10, 9): 96
(2, 15, 8, 15): 64
(3, 10, 8, 12): 96
(5, 6, 8, 2): 32
(4, 4, 8, 10): 80
(4, 13, 8, 6): 80
(2, 14, 2, 12): 96
(2, 0, 8, 13): 48
(3, 1, 8, 7): 80
(5, 8, 8, 13): 48
(3, 13, 10, 2): 80
(4, 15, 8, 4): 96
(2, 8, 2, 11): 48
(4, 15, 8, 1): 96
(5, 0, 8, 10): 80
(3, 14, 8, 8): 32
(2, 11, 8, 3): 64
(4, 9, 8, 3): 80
(3, 9, 8, 15): 80
(2, 3, 2, 0): 32
(3, 11, 10, 13): 32
(5, 11, 8, 1): 96
(4, 9, 8, 6): 80
(2, 5, 8, 7): 80
(4, 2, 8, 8): 96
(2, 4, 2, 6): 48
(3, 4, 10, 10): 80
(3, 2, 8, 4): 96
(4, 11, 8, 4): 96
(5, 13, 8, 6): 80
(2, 6, 2, 4): 32
(4, 5, 8, 14): 80
(2, 7, 8, 1): 96
(4, 13, 8, 5): 48
(3, 4, 2, 8): 80
(3, 6, 10, 1): 96
(4, 7, 8, 12): 96
(3, 5, 8, 3): 80
(4, 13, 8, 3): 80
(5, 6, 8, 0): 96
(3, 7, 8, 1): 96
(4, 11, 8, 2): 64
(5, 15, 8, 4): 96
(4, 6, 8, 8): 96
(4, 0, 8, 0): 80
(3, 8, 10, 6): 80
(5, 8, 8, 7): 80
(2, 2, 8, 5): 96
(5, 9, 8, 3): 80
(3, 0, 8, 6): 80
(4, 1, 8, 14): 80
(4, 15, 8, 14): 64
(3, 3, 10, 4): 96
(5, 3, 8, 5): 96
(5, 2, 8, 8): 96
(3, 11, 8, 13): 32
(4, 3, 8, 12): 96
(4, 2, 8, 10): 32
(5, 5, 8, 14): 80
(3, 13, 8, 11): 80
(5, 2, 8, 0): 96
(5, 4, 8, 11): 80
(3, 12, 10, 3): 80
(2, 14, 8, 9): 96
(4, 5, 8, 12): 16
(3, 15, 8, 9): 96
(3, 12, 2, 7): 48
(5, 7, 8, 12): 96
(4, 12, 8, 5): 48
(5, 1, 8, 15): 80
(4, 7, 8, 7): 32
(3, 14, 2, 1): 96
(5, 12, 8, 7): 80
(3, 14, 10, 8): 32
(2, 12, 8, 14): 80
(4, 6, 8, 0): 96
(4, 10, 8, 2): 64
(3, 1, 2, 10): 48
(4, 9, 8, 8): 48
(3, 1, 10, 14): 80
(5, 14, 8, 9): 96
(2, 10, 8, 12): 96
(4, 8, 8, 7): 80
(4, 1, 8, 0): 80
(3, 10, 2, 5): 32
(5, 7, 8, 5): 96
(3, 10, 10, 12): 96
(2, 6, 8, 11): 32
(4, 0, 10, 0): 48
(4, 14, 8, 14): 64
(5, 12, 8, 2): 80
(4, 3, 8, 5): 96
(4, 1, 8, 15): 80
(4, 3, 8, 10): 32
(4, 15, 10, 7): 64
(2, 8, 8, 0): 80
(5, 0, 8, 11): 80
(3, 9, 2, 9): 48
(4, 4, 8, 12): 16
(5, 10, 8, 13): 32
(4, 10, 8, 4): 96
(5, 5, 8, 15): 80
(4, 4, 8, 11): 80
(5, 5, 8, 10): 80
(2, 3, 8, 6): 32
(4, 13, 10, 5): 80
(5, 7, 8, 1): 96
(4, 12, 8, 3): 80
(5, 10, 8, 9): 96
(2, 4, 8, 4): 48
(4, 6, 8, 7): 32
(3, 3, 8, 8): 96
(4, 11, 10, 11): 64
(3, 5, 2, 12): 80
(4, 14, 8, 1): 96
(4, 14, 8, 9): 96
(5, 9, 8, 6): 80
(3, 4, 8, 15): 80
(5, 8, 8, 2): 80
(4, 8, 8, 8): 48
(4, 7, 10, 15): 32
(3, 0, 2, 11): 48
(4, 8, 8, 6): 80
(4, 0, 8, 15): 80
(4, 12, 8, 2): 80
(5, 14, 8, 13): 32
(3, 15, 2, 0): 32
(3, 6, 8, 13): 96
(5, 2, 8, 4): 96
(4, 9, 10, 9): 16
(5, 1, 8, 10): 80
(5, 13, 8, 3): 80
(4, 3, 8, 13): 96
(3, 8, 8, 3): 80
(4, 10, 8, 13): 32
(5, 3, 8, 1): 96
(5, 15, 8, 8): 32
(4, 2, 10, 2): 32
(3, 12, 8, 7): 80
(4, 5, 8, 10): 80
(4, 6, 8, 9): 96
(5, 0, 8, 14): 80
(3, 11, 2, 4): 96
(4, 5, 10, 13): 48
(5, 11, 8, 12): 96
(3, 10, 8, 1): 96
(4, 7, 8, 1): 96
(4, 14, 2, 15): 64
(5, 6, 8, 4): 96
(6, 2, 8, 0): 96
(4, 12, 10, 10): 80
(5, 9, 8, 2): 80
(4, 14, 10, 1): 96
(4, 1, 2, 13): 112
(6, 9, 8, 7): 80
(4, 10, 2, 3): 64
(3, 14, 8, 5): 32
(4, 2, 8, 4): 96
(4, 2, 8, 13): 96
(4, 1, 10, 6): 80
(6, 7, 8, 5): 96
(4, 4, 2, 7): 48
(5, 11, 8, 8): 32
(4, 5, 8, 11): 80
(4, 10, 10, 4): 96
(6, 5, 8, 11): 80
(4, 7, 8, 9): 96
(4, 6, 2, 1): 32
(3, 2, 8, 9): 96
(5, 4, 8, 14): 80
(5, 15, 8, 12): 96
(4, 4, 10, 3): 80
(4, 15, 8, 8): 32
(5, 6, 8, 5): 96
(4, 0, 8, 14): 80
(3, 5, 8, 14): 80
(4, 8, 2, 10): 48
(6, 11, 8, 15): 64
(5, 13, 8, 7): 80
(4, 6, 10, 8): 96
(6, 6, 8, 0): 96
(4, 11, 8, 12): 96
(4, 3, 2, 5): 32
(6, 0, 8, 9): 48
(4, 8, 10, 14): 80
(7, 2, 8, 0): 96
(3, 7, 8, 12): 96
(6, 13, 8, 7): 80
(4, 0, 2, 2): 48
(6, 15, 8, 2): 64
(5, 3, 8, 0): 96
(4, 3, 10, 12): 96
(6, 3, 8, 5): 96
(7, 9, 8, 7): 80
(5, 4, 8, 15): 80
(5, 2, 10, 0): 96
(6, 13, 8, 13): 80
(4, 15, 2, 9): 96
(7, 7, 8, 5): 96
(3, 0, 8, 11): 80
(6, 1, 8, 11): 80
(6, 4, 8, 10): 80
(4, 13, 2, 14): 48
(5, 8, 8, 3): 80
(5, 5, 10, 7): 80
(3, 11, 8, 0): 32
(6, 15, 8, 15): 64
(7, 5, 8, 11): 80
(5, 7, 10, 5): 96
(3, 13, 8, 6): 80
(5, 14, 8, 12): 96
(6, 3, 8, 1): 96
(4, 11, 2, 12): 96
(7, 11, 8, 15): 64
(6, 4, 8, 9): 48
(3, 15, 8, 4): 96
(5, 12, 8, 6): 80
(5, 9, 10, 11): 80
(4, 12, 8, 8): 48
(7, 0, 8, 9): 48
(5, 10, 8, 8): 32
(6, 11, 8, 2): 64
(6, 8, 8, 6): 80
(5, 13, 10, 15): 80
(4, 10, 8, 15): 64
(6, 9, 8, 13): 80
(7, 15, 8, 2): 64
(5, 11, 10, 9): 96
(5, 7, 8, 4): 96
(4, 2, 2, 6): 96
(4, 1, 8, 13): 80
(5, 1, 8, 11): 80
(6, 0, 8, 10): 80
(7, 13, 8, 13): 80
(6, 6, 8, 4): 96
(4, 14, 8, 3): 64
(5, 0, 10, 2): 80
(4, 5, 2, 4): 48
(7, 4, 8, 10): 80
(6, 7, 8, 1): 96
(4, 3, 8, 7): 32
(5, 2, 8, 1): 96
(5, 15, 10, 13): 32
(6, 10, 8, 3): 64
(4, 4, 8, 1): 16
(6, 12, 8, 8): 80
(6, 8, 8, 2): 80
(6, 12, 8, 6): 80
(5, 8, 10, 10): 80
(6, 14, 8, 14): 64
(7, 3, 8, 1): 96
(4, 6, 8, 10): 32
(5, 15, 8, 13): 32
(6, 1, 8, 12): 48
(7, 8, 8, 6): 80
(6, 2, 8, 4): 96
(5, 4, 2, 13): 112
(5, 3, 10, 1): 96
(5, 11, 8, 9): 96
(4, 8, 8, 5): 48
(6, 4, 8, 14): 80
(7, 1, 8, 0): 48
(6, 2, 8, 5): 96
(6, 14, 8, 3): 64
(5, 4, 10, 6): 80
(6, 10, 8, 10): 64
(4, 0, 8, 2): 80
(7, 14, 8, 7): 64
(6, 9, 8, 2): 80
(7, 6, 8, 4): 96
(5, 6, 10, 4): 96
(6, 8, 8, 8): 80
(4, 11, 8, 9): 96
(6, 10, 8, 14): 64
(7, 10, 8, 3): 64
(7, 12, 8, 5): 80
(5, 1, 2, 7): 48
(6, 7, 8, 0): 96
(5, 1, 10, 3): 80
(6, 14, 8, 7): 64
(4, 13, 8, 14): 80
(6, 5, 8, 12): 48
(7, 12, 8, 8): 80
(7, 5, 8, 0): 48
(7, 10, 8, 11): 64
(5, 10, 2, 1): 96
(4, 15, 8, 12): 96
(6, 5, 8, 14): 80
(5, 10, 10, 8): 32
(7, 10, 8, 7): 64
(7, 6, 8, 15): 32
(7, 14, 8, 14): 64
(5, 12, 10, 14): 80
(6, 11, 8, 10): 64
(5, 12, 2, 10): 48
(6, 5, 8, 15): 80
(4, 9, 8, 11): 80
(5, 14, 10, 12): 96
(7, 1, 8, 12): 48
(7, 8, 8, 9): 16
(7, 8, 8, 5): 80
(5, 14, 2, 5): 32
(4, 2, 8, 0): 96
(6, 1, 8, 0): 48
(6, 6, 10, 0): 96
(7, 14, 8, 11): 64
(4, 5, 8, 6): 80
(7, 3, 8, 2): 32
(6, 9, 8, 3): 80
(6, 4, 10, 7): 80
(4, 7, 8, 4): 96
(7, 2, 8, 15): 32
(7, 4, 8, 13): 48
(6, 15, 8, 7): 64
(5, 6, 8, 8): 96
(5, 5, 2, 9): 48
(6, 12, 8, 5): 80
(7, 12, 8, 9): 16
(6, 3, 10, 5): 96
(5, 8, 8, 15): 80
(6, 11, 8, 6): 64
(6, 10, 8, 11): 64
(7, 13, 8, 10): 80
(6, 8, 10, 11): 80
(7, 7, 8, 2): 32
(5, 3, 8, 13): 96
(7, 15, 8, 1): 96
(6, 4, 8, 15): 80
(7, 0, 8, 13): 48
(6, 15, 8, 11): 64
(5, 4, 8, 3): 80
(7, 0, 8, 6): 80
(6, 6, 8, 15): 32
(6, 3, 8, 4): 96
(5, 9, 2, 12): 80
(6, 14, 10, 15): 64
(5, 1, 8, 7): 80
(7, 9, 8, 10): 80
(6, 8, 8, 3): 80
(7, 11, 8, 4): 96
(5, 14, 8, 1): 96
(6, 12, 10, 9): 48
(5, 13, 2, 11): 48
(7, 0, 8, 5): 48
(6, 8, 8, 9): 16
(7, 11, 8, 1): 96
(6, 6, 8, 1): 96
(5, 12, 8, 10): 80
(5, 11, 2, 0): 32
(7, 5, 8, 3): 80
(6, 10, 10, 2): 64
(5, 10, 8, 5): 32
(5, 0, 2, 6): 48
(6, 3, 8, 2): 32
(7, 4, 8, 6): 80
(6, 10, 8, 6): 64
(7, 7, 8, 8): 96
(5, 5, 8, 2): 80
(5, 15, 2, 4): 96
(7, 15, 8, 4): 96
(6, 4, 8, 13): 48
(7, 13, 8, 0): 80
(5, 7, 8, 9): 96
(7, 9, 8, 14): 80
(6, 1, 10, 13): 80
(7, 11, 8, 14): 64
(7, 2, 8, 12): 96
(5, 9, 8, 14): 80
(6, 14, 8, 11): 64
(8, 4, 8, 0): 96
(6, 9, 10, 10): 80
(6, 13, 8, 10): 80
(7, 7, 8, 10): 32
(5, 2, 8, 12): 96
(7, 1, 8, 5): 48
(6, 5, 2, 13): 80
(7, 1, 8, 3): 80
(6, 7, 10, 1): 96
(6, 15, 8, 1): 96
(8, 3, 8, 7): 128
(7, 9, 8, 12): 16
(6, 0, 8, 6): 80
(6, 5, 10, 6): 80
(7, 14, 8, 2): 64
(5, 13, 8, 11): 80
(8, 8, 8, 5): 96
(7, 2, 8, 7): 32
(7, 3, 8, 8): 96
(6, 11, 8, 4): 96
(8, 6, 8, 11): 128
(6, 2, 10, 4): 96
(5, 15, 8, 0): 32
(7, 12, 8, 0): 80
(6, 15, 2, 7): 64
(7, 13, 8, 14): 80
(6, 5, 8, 3): 80
(7, 5, 8, 8): 48
(6, 15, 10, 3): 64
(5, 0, 8, 6): 80
(8, 10, 8, 15): 64
(7, 10, 8, 14): 64
(7, 6, 8, 12): 96
(6, 0, 2, 1): 80
(6, 7, 8, 8): 96
(5, 11, 8, 4): 96
(7, 12, 8, 15): 80
(6, 0, 10, 8): 80
(8, 0, 8, 0): 96
(8, 12, 8, 9): 96
(6, 2, 8, 8): 96
(7, 6, 8, 10): 32
(7, 14, 8, 4): 96
(6, 9, 8, 14): 80
(6, 11, 2, 10): 64
(6, 11, 10, 14): 64
(8, 14, 8, 2): 64
(6, 2, 8, 12): 96
(8, 7, 8, 7): 128
(6, 9, 8, 15): 80
(6, 13, 10, 12): 48
(8, 1, 8, 13): 96
(7, 13, 10, 0): 48
(7, 8, 8, 12): 16
(8, 12, 8, 5): 96
(8, 2, 8, 10): 128
(9, 3, 8, 7): 128
(7, 3, 8, 7): 32
(7, 11, 10, 7): 64
(6, 7, 8, 13): 96
(7, 10, 8, 1): 96
(6, 4, 2, 9): 80
(8, 2, 8, 11): 128
(8, 9, 8, 1): 96
(7, 4, 8, 8): 48
(8, 14, 8, 15): 64
(7, 0, 10, 5): 80
(7, 6, 8, 13): 96
(8, 7, 8, 6): 128
(7, 13, 8, 15): 80
(9, 6, 8, 11): 128
(7, 15, 10, 11): 64
(6, 11, 8, 7): 64
(8, 8, 8, 9): 96
(7, 8, 8, 11): 80
(8, 5, 8, 4): 96
(6, 14, 2, 11): 64
(9, 10, 8, 15): 64
(7, 3, 8, 9): 96
(6, 0, 8, 1): 48
(7, 2, 10, 15): 32
(8, 11, 8, 3): 64
(8, 10, 8, 2): 64
(9, 12, 8, 9): 96
(8, 5, 8, 5): 96
(7, 0, 8, 3): 80
(6, 15, 8, 10): 64
(8, 5, 8, 13): 96
(9, 14, 8, 2): 64
(7, 5, 10, 9): 16
(8, 2, 8, 2): 128
(8, 0, 8, 8): 96
(6, 13, 8, 5): 80
(8, 6, 8, 10): 128
(8, 9, 8, 0): 96
(7, 7, 10, 2): 32
(6, 10, 2, 6): 64
(7, 5, 8, 6): 80
(8, 15, 8, 14): 64
(9, 1, 8, 13): 96
(8, 13, 8, 12): 96
(9, 5, 8, 0): 96
(6, 4, 8, 2): 80
(8, 13, 8, 1): 96
(6, 1, 2, 4): 80
(8, 7, 8, 14): 128
(7, 1, 2, 8): 80
(9, 2, 8, 10): 128
(6, 3, 8, 9): 96
(8, 11, 8, 10): 64
(7, 9, 10, 13): 48
(9, 7, 8, 7): 128
(7, 7, 8, 13): 96
(6, 8, 8, 14): 80
(7, 1, 10, 10): 80
(7, 10, 2, 15): 64
(8, 3, 8, 6): 128
(6, 6, 8, 12): 96
(7, 10, 10, 1): 96
(7, 9, 8, 11): 80
(9, 7, 8, 6): 128
(9, 9, 8, 5): 96
(7, 2, 8, 9): 96
(8, 1, 8, 4): 96
(8, 15, 8, 7): 64
(7, 12, 10, 6): 80
(8, 4, 8, 5): 96
(7, 14, 2, 3): 64
(8, 15, 8, 3): 64
(6, 12, 8, 0): 80
(7, 14, 10, 4): 96
(9, 2, 8, 11): 128
(9, 11, 8, 3): 64
(8, 3, 8, 2): 128
(6, 14, 8, 6): 64
(7, 8, 10, 3): 80
(8, 4, 8, 8): 96
(8, 8, 8, 0): 96
(6, 1, 8, 4): 48
(7, 3, 10, 8): 96
(9, 0, 8, 8): 96
(9, 13, 8, 15): 32
(7, 8, 2, 7): 48
(8, 3, 8, 15): 128
(8, 6, 8, 14): 128
(8, 11, 8, 14): 64
(9, 15, 8, 14): 64
(7, 4, 10, 14): 80
(7, 1, 8, 8): 48
(7, 3, 2, 1): 32
(9, 15, 8, 9): 64
(8, 8, 8, 4): 96
(8, 10, 8, 10): 64
(7, 6, 10, 12): 96
(7, 14, 8, 15): 64
(9, 0, 8, 2): 32
(8, 9, 10, 0): 96
(8, 9, 8, 12): 96
(8, 6, 8, 3): 128
(9, 13, 8, 12): 96
(7, 4, 2, 10): 48
(7, 12, 8, 13): 80
(9, 1, 8, 0): 96
(9, 11, 8, 13): 64
(8, 7, 10, 7): 128
(7, 6, 2, 5): 32
(8, 14, 8, 7): 64
(8, 4, 8, 1): 96
(9, 6, 8, 10): 128
(8, 5, 10, 5): 96
(7, 13, 2, 2): 48
(8, 10, 8, 6): 64
(9, 13, 8, 5): 96
(7, 6, 8, 7): 32
(7, 11, 2, 9): 96
(9, 8, 8, 1): 96
(8, 2, 8, 15): 128
(8, 2, 10, 11): 128
(7, 0, 2, 14): 48
(8, 14, 8, 11): 64
(8, 13, 8, 15): 32
(9, 9, 8, 15): 32
(9, 3, 8, 6): 128
(7, 8, 8, 1): 16
(8, 9, 8, 4): 96
(8, 15, 10, 15): 64
(8, 15, 8, 9): 64
(7, 15, 2, 12): 96
(9, 11, 8, 9): 64
(9, 4, 8, 5): 96
(9, 4, 8, 4): 96
(7, 3, 8, 10): 32
(8, 0, 8, 2): 32
(8, 0, 10, 9): 96
(8, 7, 8, 3): 128
(7, 2, 2, 11): 96
(8, 5, 8, 1): 96
(9, 6, 8, 2): 128
(9, 1, 8, 3): 32
(8, 11, 8, 13): 64
(7, 4, 8, 5): 48
(8, 11, 10, 2): 64
(9, 4, 8, 2): 32
(9, 14, 8, 8): 64
(7, 5, 2, 0): 80
(7, 13, 8, 2): 80
(9, 15, 8, 13): 64
(9, 8, 8, 0): 96
(8, 13, 10, 13): 96
(8, 11, 8, 6): 64
(7, 15, 8, 9): 96
(7, 7, 2, 6): 96
(9, 3, 8, 14): 128
(9, 12, 8, 14): 32
(8, 6, 10, 10): 128
(7, 0, 8, 14): 80
(8, 15, 8, 11): 64
(9, 10, 8, 12): 64
(9, 12, 8, 10): 32
(9, 14, 8, 12): 64
(9, 12, 8, 1): 96
(7, 11, 8, 12): 96
(8, 4, 10, 1): 96
(8, 1, 8, 3): 32
(8, 6, 2, 8): 128
(10, 11, 8, 0): 128
(8, 14, 8, 8): 64
(9, 1, 8, 7): 32
(9, 5, 8, 5): 96
(10, 0, 8, 7): 64
(8, 3, 10, 6): 128
(9, 10, 8, 8): 64
(10, 15, 8, 5): 128
(9, 0, 8, 4): 96
(8, 4, 2, 15): 96
(7, 7, 8, 0): 96
(8, 12, 8, 14): 32
(9, 7, 8, 2): 128
(9, 7, 8, 15): 128
(10, 13, 8, 11): 64
(7, 9, 8, 6): 80
(9, 5, 8, 3): 32
(9, 9, 8, 0): 96
(7, 2, 8, 4): 96
(8, 8, 10, 4): 96
(8, 10, 8, 12): 64
(11, 11, 8, 0): 128
(8, 3, 2, 13): 128
(9, 9, 8, 4): 96
(9, 2, 8, 14): 128
(10, 2, 8, 15): 64
(8, 14, 10, 3): 64
(11, 0, 8, 7): 64
(9, 8, 8, 14): 32
(8, 12, 10, 8): 96
(9, 2, 8, 3): 128
(8, 8, 2, 3): 96
(10, 9, 8, 9): 96
(9, 13, 8, 10): 32
(8, 10, 10, 14): 64
(9, 5, 8, 1): 96
(11, 15, 8, 5): 128
(8, 14, 2, 7): 64
(8, 1, 10, 12): 96
(9, 15, 8, 12): 64
(9, 0, 8, 6): 32
(8, 8, 8, 13): 96
(10, 7, 8, 2): 64
(10, 15, 8, 0): 128
(9, 0, 8, 7): 32
(9, 8, 10, 0): 96
(11, 13, 8, 11): 64
(8, 12, 2, 1): 32
(11, 2, 8, 15): 64
(10, 5, 8, 13): 32
(10, 4, 8, 7): 64
(8, 10, 2, 10): 64
(9, 3, 10, 7): 128
(9, 11, 8, 8): 64
(11, 9, 8, 9): 96
(9, 13, 8, 11): 32
(8, 10, 8, 7): 64
(10, 10, 8, 10): 64
(10, 11, 8, 5): 128
(9, 6, 8, 15): 128
(11, 7, 8, 2): 64
(9, 4, 10, 5): 96
(8, 1, 2, 5): 32
(8, 12, 8, 1): 96
(10, 10, 8, 5): 128
(10, 12, 8, 1): 96
(9, 8, 8, 4): 96
(10, 9, 8, 11): 64
(8, 14, 8, 10): 64
(9, 6, 10, 11): 128
(11, 5, 8, 13): 32
(8, 9, 2, 2): 96
(10, 14, 8, 6): 64
(10, 1, 8, 2): 64
(9, 3, 8, 3): 128
(8, 1, 8, 5): 96
(10, 1, 8, 4): 96
(10, 6, 8, 15): 64
(11, 10, 8, 10): 64
(8, 7, 2, 9): 128
(9, 1, 10, 15): 32
(10, 14, 8, 0): 128
(9, 4, 8, 1): 96
(10, 4, 8, 3): 64
(9, 10, 10, 9): 64
(8, 9, 8, 9): 96
(11, 12, 8, 1): 96
(8, 5, 2, 14): 96
(10, 3, 8, 8): 64
(9, 1, 8, 6): 32
(10, 12, 8, 14): 64
(11, 14, 8, 6): 64
(10, 13, 8, 9): 96
(9, 12, 10, 2): 32
(10, 8, 8, 14): 64
(8, 2, 2, 12): 128
(9, 14, 8, 13): 64
(10, 3, 8, 2): 64
(9, 14, 10, 13): 64
(10, 3, 8, 10): 64
(9, 12, 8, 11): 32
(8, 5, 8, 12): 96
(10, 1, 8, 13): 32
(10, 6, 8, 12): 64
(8, 15, 2, 11): 64
(9, 2, 10, 10): 128
(9, 10, 8, 9): 64
(11, 1, 8, 4): 96
(11, 15, 8, 0): 128
(10, 8, 8, 12): 96
(8, 11, 8, 11): 64
(8, 0, 2, 0): 32
(10, 14, 8, 10): 64
(9, 5, 10, 1): 96
(10, 0, 8, 2): 64
(10, 6, 8, 7): 64
(11, 4, 8, 3): 64
(11, 13, 8, 7): 64
(8, 11, 2, 6): 64
(10, 8, 8, 1): 96
(11, 11, 8, 5): 128
(8, 13, 2, 4): 32
(10, 4, 8, 8): 32
(9, 7, 10, 6): 128
(11, 3, 8, 8): 64
(9, 2, 2, 8): 128
(10, 10, 8, 6): 64
(10, 11, 8, 15): 64
(8, 15, 8, 6): 64
(11, 0, 8, 11): 64
(9, 9, 10, 4): 96
(9, 5, 2, 15): 96
(10, 13, 8, 14): 64
(11, 8, 8, 14): 64
(10, 5, 8, 4): 96
(8, 13, 8, 4): 96
(9, 13, 10, 3): 32
(11, 6, 8, 12): 64
(10, 2, 8, 10): 64
(10, 13, 8, 4): 96
(9, 7, 2, 13): 128
(11, 7, 8, 15): 64
(9, 5, 8, 8): 96
(10, 0, 8, 3): 64
(9, 11, 10, 8): 64
(9, 9, 2, 3): 96
(10, 15, 8, 3): 64
(11, 5, 8, 9): 96
(9, 0, 10, 14): 32
(10, 9, 8, 12): 96
(10, 13, 8, 7): 64
(10, 0, 8, 1): 96
(9, 13, 2, 7): 96
(10, 7, 8, 8): 64
(11, 2, 8, 2): 64
(9, 9, 8, 13): 96
(9, 15, 10, 12): 64
(10, 7, 8, 7): 64
(10, 5, 8, 6): 64
(10, 0, 8, 11): 64
(10, 14, 10, 0): 128
(11, 9, 8, 13): 32
(10, 2, 8, 13): 64
(9, 11, 2, 1): 64
(10, 7, 8, 15): 64
(10, 5, 8, 8): 32
(10, 12, 10, 7): 64
(9, 13, 8, 7): 32
(11, 14, 8, 10): 64
(10, 2, 8, 12): 64
(9, 0, 2, 10): 96
(10, 5, 8, 9): 96
(10, 10, 8, 15): 64
(11, 1, 8, 1): 96
(10, 10, 10, 5): 128
(10, 7, 8, 9): 64
(9, 15, 8, 1): 64
(10, 12, 8, 4): 96
(10, 2, 8, 2): 64
(11, 14, 8, 5): 128
(9, 15, 2, 5): 64
(11, 10, 8, 6): 64
(9, 0, 8, 10): 32
(11, 9, 8, 7): 64
(10, 1, 10, 11): 64
(10, 9, 8, 13): 32
(10, 14, 8, 3): 64
(11, 12, 8, 2): 64
(11, 12, 8, 4): 96
(10, 6, 10, 15): 64
(9, 8, 2, 2): 96
(10, 1, 8, 1): 96
(11, 8, 8, 3): 64
(9, 11, 8, 5): 64
(10, 4, 8, 6): 64
(11, 6, 8, 8): 64
(9, 3, 2, 9): 128
(11, 4, 8, 11): 64
(11, 10, 8, 0): 128
(10, 4, 10, 9): 96
(11, 4, 8, 14): 64
(9, 4, 2, 14): 96
(11, 3, 8, 15): 64
(10, 3, 8, 13): 64
(11, 1, 8, 14): 64
(9, 8, 8, 9): 96
(11, 3, 8, 12): 64
(10, 3, 10, 2): 64
(10, 8, 8, 11): 64
(11, 1, 8, 9): 96
(9, 6, 2, 12): 128
(10, 8, 8, 3): 64
(10, 8, 10, 13): 32
(11, 6, 8, 10): 64
(12, 9, 8, 0): 96
(11, 6, 8, 2): 64
(10, 6, 8, 9): 64
(9, 1, 2, 11): 96
(10, 6, 8, 8): 64
(10, 15, 10, 10): 64
(12, 2, 8, 7): 128
(11, 4, 8, 12): 96
(11, 13, 8, 13): 32
(9, 10, 2, 0): 64
(10, 4, 8, 14): 64
(11, 13, 8, 2): 64
(9, 4, 8, 12): 96
(10, 3, 8, 12): 64
(9, 12, 2, 6): 96
(12, 5, 8, 5): 96
(10, 0, 10, 1): 96
(11, 3, 8, 7): 64
(11, 5, 8, 1): 96
(9, 1, 8, 11): 32
(9, 14, 2, 4): 64
(12, 7, 8, 11): 128
(10, 11, 10, 6): 64
(10, 15, 2, 8): 128
(11, 8, 8, 8): 32
(11, 0, 8, 14): 64
(12, 0, 8, 15): 32
(9, 14, 8, 0): 64
(10, 0, 2, 15): 64
(11, 15, 8, 15): 64
(10, 13, 10, 4): 96
(11, 7, 8, 10): 64
(13, 2, 8, 7): 128
(12, 11, 8, 9): 64
(9, 12, 8, 6): 32
(11, 8, 8, 4): 96
(10, 9, 10, 3): 64
(11, 0, 8, 4): 96
(10, 11, 2, 13): 128
(11, 5, 8, 12): 96
(9, 10, 8, 4): 64
(12, 13, 8, 2): 32
(10, 11, 8, 8): 128
(11, 12, 8, 3): 64
(11, 2, 8, 7): 64
(10, 7, 10, 8): 64
(10, 13, 2, 3): 64
(10, 0, 8, 15): 64
(10, 5, 10, 14): 64
(13, 7, 8, 11): 128
(11, 2, 8, 8): 64
(11, 11, 8, 3): 64
(11, 9, 8, 8): 32
(12, 15, 8, 13): 64
(10, 2, 10, 12): 64
(10, 15, 8, 13): 128
(10, 9, 2, 7): 64
(11, 14, 8, 15): 64
(11, 10, 10, 0): 128
(13, 0, 8, 15): 32
(11, 7, 8, 12): 64
(11, 13, 8, 1): 96
(12, 3, 8, 10): 128
(10, 13, 8, 3): 64
(12, 13, 8, 0): 96
(12, 4, 8, 1): 96
(11, 1, 10, 7): 64
(11, 9, 8, 6): 64
(13, 11, 8, 9): 64
(10, 7, 2, 1): 64
(12, 6, 8, 7): 128
(11, 7, 8, 13): 64
(10, 2, 8, 7): 64
(11, 10, 8, 3): 64
(11, 14, 10, 5): 128
(12, 6, 8, 6): 128
(10, 9, 8, 1): 96
(10, 5, 2, 10): 64
(11, 12, 10, 11): 64
(12, 1, 8, 5): 96
(11, 5, 8, 11): 64
(12, 8, 8, 4): 96
(10, 2, 2, 5): 64
(11, 3, 10, 15): 64
(10, 7, 8, 10): 64
(13, 13, 8, 2): 32
(11, 8, 8, 6): 64
(11, 2, 8, 9): 64
(10, 5, 8, 5): 32
(12, 3, 8, 11): 128
(13, 15, 8, 13): 64
(10, 14, 2, 2): 64
(12, 12, 8, 3): 32
(12, 8, 8, 5): 96
(11, 8, 10, 9): 96
(11, 6, 8, 13): 64
(12, 10, 8, 8): 64
(12, 3, 8, 2): 128
(12, 4, 8, 15): 32
(13, 3, 8, 10): 128
(10, 10, 8, 2): 64
(11, 6, 10, 2): 64
(10, 12, 2, 9): 96
(11, 3, 8, 9): 64
(12, 4, 8, 0): 96
(12, 15, 8, 9): 64
(12, 1, 8, 14): 32
(10, 10, 2, 14): 64
(11, 4, 10, 13): 32
(10, 12, 8, 9): 96
(13, 6, 8, 6): 128
(12, 14, 8, 12): 64
(12, 9, 8, 5): 96
(12, 6, 8, 14): 128
(12, 9, 8, 2): 32
